account_name,taxonomy_account_name,account_code,parent_account_code,values
กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด-สุทธิจากภาษี,กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด-สุทธิจากภาษี,409998,409999,"['11,703,051']"
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,409999,,"['21,276,250']"
ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ผู้ถือหุ้นบริษัทใหญ่,470100,,"['20,680,198']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,,"['596,052']"
รายได้จากการขาย,รายได้จากการขาย,410102,410100,"['305,027,790']"
ต้นทุนขาย,ต้นทุนขาย,420410,420400,"['(258,026,230)']"
รายได้อื่น,รายได้อื่น,410200,419999,"['7,993,372']"
ต้นทุนในการจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย,422110,422100,"['(18,613,574)']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,422100,"['(16,602,305)']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,429999,"['(651,162)']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,409995,"['(3,361,711)']"
ส่วนแบ่งกำไรของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,431100,409992,"['6,767,898']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,409995,"['(3,571,478)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409996,,"['18,962,600']"
ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,การแบ่งปันกำไร (ขาดทุน) สุทธิ : ผู้ถือหุ้นบริษัทใหญ่,460100,,"['18,781,135']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,,"['181,465']"
ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น),480100,,['15.65']
กำไรสำหรับงวด,กำไรสำหรับงวด,409991,409999,"['18,962,600']"
ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,440500,409998,"['7,964,974']"
ผลกำไร(ขาดทุน)จากการป้องกันความเสี่ยงกระแสเงินสด,กำไร (ขาดทุน) จากการวัดมูลค่ายุติธรรมเครื่องมือที่ใช้สำหรับการป้องกันความเสี่ยงในกระแสเงินสด,440200,409998,"['2,689,993']"
ผลขาดทุนจากการวัดมูลค่าสินทรัพย์ทางการเงิน,ผลขาดทุนจากการวัดมูลค่าสินทรัพย์ทางการเงิน,440100,409998,"['(26,061)']"
ส่วนแบ่งกำไรขาดทุนเบ็ดเสร็จอื่นของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรขาดทุนเบ็ดเสร็จอื่นของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,440900,409998,"['2,010,090']"
ภาษีเงินได้ของรายการที่อาจถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,ภาษีเงินได้ของรายการที่อาจถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,449900,409998,"['8,121']"
ผลกำไร(ขาดทุน)จากการวัดมูลค่ายุติธรรมเงินลงทุนในตราสารทุน,กำไร (ขาดทุน) จากการวัดมูลค่าเงินลงทุนในตราสารทุนด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,409998,"['(662,958)']"
ผลกำไร(ขาดทุน)จากการวัดมูลค่าใหม่ของผลประโยชน์พนักงานที่กำหนดไว้,กำไร (ขาดทุน) จากการประมาณการตามหลักคณิตศาสตร์ประกันภัยสำหรับโครงการผลประโยชน์พนักงาน,450600,409998,"['9,031']"
ส่วนแบ่งกำไรขาดทุนเบ็ดเสร็จอื่นของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรขาดทุนเบ็ดเสร็จอื่นของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,450500,409998,"['(277,550)']"
ภาษีเงินได้ของรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,ภาษีเงินได้ของรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,459900,409998,"['130,795']"
กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด-สุทธิจากภาษี,กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด-สุทธิจากภาษี,409998,409999,"['11,846,435']"
กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,409999,,"['30,809,035']"
ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ผู้ถือหุ้นบริษัทใหญ่,470100,,"['30,051,854']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,,"['757,181']"
กำไรสำหรับงวด,กำไรสำหรับงวด,510100,519997,"['18,962,600']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,514900,519997,"['3,571,478']"
ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาและค่าตัดจำหน่าย,510300,519997,"['14,402,007']"
ขาดทุน(กำไร)จากการปรับมูลค่าสินค้า,ขาดทุน(กำไร)จากการปรับมูลค่าสินค้า,510500,519997,"['357,762']"
ค่าใช้จ่ายประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ค่าใช้จ่ายประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,514910,519997,"['633,905']"
กำไรจากอัตราแลกเปลี่ยน,กำไรจากอัตราแลกเปลี่ยน,510800,519997,"['(124,680)']"
ส่วนแบ่งกำไรของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรของการร่วมค้าและบริษัทร่วมตามวิธีส่วนได้เสีย,510600,519997,"['(6,767,898)']"
เงินปันผลรับ,เงินปันผลรับ,514710,514700,"['(3,138,331)']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,514720,514700,"['(597,776)']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,514800,519997,"['3,361,711']"
ขาดทุน(กำไร)จากการปรับมูลค่ายุติธรรมและอื่นๆ,ขาดทุน(กำไร)จากการปรับมูลค่ายุติธรรมและอื่นๆ,515000,519997,"['(623,744)']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,515800,519998,"['(10,709,558)']"
สินค้าคงเหลือ,สินค้าคงเหลือ,516300,519998,"['(3,320,322)']"
สินทรัพย์อื่น,สินทรัพย์อื่น,516600,519998,"['(541,707)']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,517600,519998,"['691,494']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,518700,519998,"['(262,934)']"
หนี้สินอื่น,หนี้สินอื่น,518300,519998,"['12,603']"
กระแสเงินสดสุทธิได้มาจากการดำเนินงาน,กระแสเงินสดสุทธิได้มาจากการดำเนินงาน,519998,519999,"['15,906,610']"
จ่ายภาษีเงินได้,จ่ายภาษีเงินได้,519900,519999,"['(4,007,578)']"
กระแสเงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,กระแสเงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,519999,509999,"['11,899,032']"
เงินสดจ่ายเพื่อซื้อบริษัทย่อยสุทธิจากเงินสดที่ได้มา,เงินสดจ่ายเพื่อซื้อบริษัทย่อยสุทธิจากเงินสดที่ได้มา,521200,529999,"['(514,096)']"
เงินสดจ่ายเพื่อซื้อส่วนได้เสียในการร่วมค้าและบริษัทร่วม,เงินสดจ่ายเพื่อซื้อส่วนได้เสียในการร่วมค้าและบริษัทร่วม,521200,529999,"['(1,200,605)']"
เงินสดรับจากการขายตราสารทุนและตราสารหนี้ของกิจการอื่น,เงินสดรับจากการขายตราสารทุนและตราสารหนี้ของกิจการอื่น,520210,520200,"['19,603,216']"
เงินสดจ่ายเพื่อซื้อตราสารทุนและตราสารหนี้ของกิจการอื่น,เงินสดจ่ายเพื่อซื้อตราสารทุนและตราสารหนี้ของกิจการอื่น,520300,529999,"['(11,769,155)']"
เงินสดรับจากการขายที่ดินอาคารและอุปกรณ์,เงินสดรับจากการขายที่ดินอาคารและอุปกรณ์,521610,521600,"['310,106']"
เงินสดจ่ายเพื่อซื้อที่ดินอาคารและอุปกรณ์และสินทรัพย์ไม่มีตัวตน,เงินสดจ่ายเพื่อซื้อที่ดินอาคารและอุปกรณ์และสินทรัพย์ไม่มีตัวตน,521700,529999,"['(20,187,124)']"
เงินสดจ่ายจากเงินให้กู้ยืม,เงินสดจ่ายจากเงินให้กู้ยืม,521400,529999,"['(9,739)']"
รับเงินปันผล,รับเงินปันผล,529700,529999,"['7,642,711']"
รับดอกเบี้ย,รับดอกเบี้ย,529500,529999,"['528,160']"
กระแสเงินสดสุทธิใช้ไปในกิจกรรมลงทุน,กระแสเงินสดสุทธิใช้ไปในกิจกรรมลงทุน,529999,509999,"['(5,596,526)']"
