account_name,taxonomy_account_name,account_code,parent_account_code,values
รายได้ค่าสาธารณูปโภค,รายได้ค่าสาธารณูปโภค,410200,419999,"['108,234']"
รายได้ดอกเบี้ยรับ,รายได้ดอกเบี้ยรับ,410108,410120,"['1,069,847']"
รายได้อื่น,รายได้อื่น,410200,419999,"['46,694']"
รวมรายได้,รวมรายได้,419999,409993,"['54,156,822']"
ต้นทุนค่าเช่าและค่าบริการ,ต้นทุนค่าเช่าและค่าบริการ,420700,429999,"['13,472,155']"
ค่าธรรมเนียมการจัดการ,ค่าธรรมเนียมการจัดการ,421300,429999,"['2,497,101']"
ค่าธรรมเนียมผู้ดูแลผลประโยชน์,ค่าธรรมเนียมผู้ดูแลผลประโยชน์,421400,429999,"['214,037']"
ค่าธรรมเนียมนายทะเบียนหน่วยลงทุน,ค่าธรรมเนียมนายทะเบียนหน่วยลงทุน,421600,429999,"['356,729']"
ค่าธรรมเนียมผู้บริหารอสังหาริมทรัพย์,ค่าธรรมเนียมผู้บริหารอสังหาริมทรัพย์,421700,429999,"['2,655,994']"
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,421500,"['904,729']"
ค่านายหน้า,ค่านายหน้า,429800,429999,"['762,770']"
ค่าใช้จ่ายในการดำเนินงาน,ค่าใช้จ่ายในการดำเนินงาน,429800,429999,"['1,453,771']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,430700,429999,"['193,094']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409993,"['22,510,380']"
กำไรจากการลงทุนสุทธิ,กำไรจากการลงทุนสุทธิ,409993,409996,"['31,646,442']"
ที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,ที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,439702,439700,"['3,291']"
การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,409999,,"['31,649,733']"
การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,560090,569998,"['31,649,733']"
การซื้อเงินลงทุนในหลักทรัพย์,การซื้อเงินลงทุนในหลักทรัพย์,560041,560440,"['(223,058,467)']"
การขายเงินลงทุนในหลักทรัพย์,การขายเงินลงทุนในหลักทรัพย์,560031,560330,"['226,000,000']"
ตัดจำหน่ายส่วนต่ำมูลค่าเงินลงทุนในหลักทรัพย์,ตัดจำหน่ายส่วนต่ำมูลค่าเงินลงทุนในหลักทรัพย์,564720,564700,"['(1,014,677)']"
(กำไร)ขาดทุนสุทธิที่ยังไม่เกิดขึ้นจากเงินลงทุน,(กำไร)ขาดทุนสุทธิที่ยังไม่เกิดขึ้นจากเงินลงทุน,561400,569998,"['(3,291)']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,560400,569998,"['193,094']"
การลดลงในลูกหนี้จากการให้เช่าและบริการ,การลดลงในลูกหนี้จากการให้เช่าและบริการ,565800,569998,"['860,089']"
การเพิ่มขึ้นในค่าใช้จ่ายรอการตัดบัญชี,สินทรัพย์อื่น (เพิ่มขึ้น) ลดลง,566600,569998,"['(1,119,243)']"
การลดลงในค่าใช้จ่ายจ่ายล่วงหน้า,การลดลงในค่าใช้จ่ายจ่ายล่วงหน้า,566600,569998,"['12,661']"
การ(เพิ่มขึ้น)ลดลงในสินทรัพย์อื่น,การ(เพิ่มขึ้น)ลดลงในสินทรัพย์อื่น,566600,569998,"['(3,955)']"
การลดลงในเจ้าหนี้,การลดลงในเจ้าหนี้,567600,569998,"['(519,741)']"
การเพิ่มขึ้น(ลดลง)ในค่าใช้จ่ายค้างจ่าย,การเพิ่มขึ้น(ลดลง)ในค่าใช้จ่ายค้างจ่าย,568900,569998,"['1,156,790']"
การลดลงในเงินมัดจำการให้เช่า,การลดลงในเงินมัดจำการให้เช่า,568902,569998,"['(1,105,041)']"
การเพิ่มขึ้นในหนี้สินอื่น,การเพิ่มขึ้นในหนี้สินอื่น,568300,569998,"['23,805']"
เงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,เงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,569999,509999,"['33,071,757']"
การแบ่งปันส่วนทุนให้แก่ผู้ถือหน่วยลงทุน,การแบ่งปันส่วนทุนให้แก่ผู้ถือหน่วยลงทุน,539800,539999,"['(32,000,000)']"
เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,539999,509999,"['(32,000,000)']"
เงินฝากสถาบันการเงินเพิ่มขึ้นสุทธิ,เงินฝากสถาบันการเงินเพิ่มขึ้นสุทธิ,509999,599999,"['1,071,757']"
เงินฝากสถาบันการเงินณวันต้นงวด,เงินฝากสถาบันการเงินณวันต้นงวด,599998,599999,"['5,791,683']"
เงินฝากสถาบันการเงินณวันสิ้นงวด,เงินฝากสถาบันการเงินณวันสิ้นงวด,599999,,"['6,863,440']"
