account_name,taxonomy_account_name,account_code,values
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,"['(446)', '-']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,"['2,276,391', '2,550,137']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,"['3,328,941', '3,515,655']"
รายได้จากการขาย,รายได้จากการขาย,410102,"['1,304,126', '1,241,559']"
กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,410200,"['12,233', '12,232']"
รายได้อื่น,รายได้อื่น,410200,"['8,927', '10,417']"
รวมรายได้,รวมรายได้,419999,"['1,325,286', '1,264,208']"
ต้นทุนขาย,ต้นทุนขาย,420410,"['874,292', '854,174']"
ต้นทุนในการจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย,422110,"['138,914', '106,957']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,"['101,199', '84,906']"
ส่วนแบ่งขาดทุนจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งกำไร (ขาดทุน) จากเงินลงทุนตามวิธีส่วนได้เสีย,431100,"['(145)', '-']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['(2,743)', '(2,487)']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,"['(12,236)', '(8,681)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409996,"['195,757', '207,003']"
ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,440500,"['(338)', '-']"
ขาดทุนเบ็ดเสร็จอื่นรวมสำหรับงวด-สุทธิจากภาษีเงินได้,ขาดทุนเบ็ดเสร็จอื่นรวมสำหรับงวด-สุทธิจากภาษีเงินได้,409998,"['(338)', '-']"
กำไรเบ็ดเสร็จรวมสำหรับงวด,กำไรเบ็ดเสร็จรวมสำหรับงวด,409999,"['195,419', '207,003']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,460100,"['194,963', '207,003']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,"['794', '']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,470100,"['194,654', '207,003']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,"['765', '']"
กำไรต่อหุ้นขั้นพื้นฐาน(บาท),กำไรต่อหุ้นขั้นพื้นฐาน(บาท),480100,"['0.14', '0.15']"
รายได้จากการขาย,รายได้จากการขาย,410102,"['2,547,843', '2,419,181']"
กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,410200,"['11,823', '11,822']"
รายได้อื่น,รายได้อื่น,410200,"['15,961', '18,156']"
ต้นทุนขาย,ต้นทุนขาย,420410,"['1,710,712', '1,674,229']"
ต้นทุนในการจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย,422110,"['284,523', '219,894']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,"['188,806', '156,814']"
ส่วนแบ่งขาดทุนจากเงินลงทุนในบริษัทร่วม,ส่วนแบ่งขาดทุนจากเงินลงทุนในบริษัทร่วม,431100,"['(77)', '-']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['(5,403)', '(4,935)']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,"['(23,784)', '(17,650)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409996,"['362,322', '375,637']"
ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,440500,"['41', '-']"
กำไรเบ็ดเสร็จรวมสำหรับงวด,กำไรเบ็ดเสร็จรวมสำหรับงวด,409999,"['362,363', '375,637']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,460100,"['360,970', '375,637']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,"['1,352', '']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,470100,"['361,007', '375,637']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,"['1,356', '']"
กำไรต่อหุ้นขั้นพื้นฐาน(บาท),กำไรต่อหุ้นขั้นพื้นฐาน(บาท),480100,"['0.26', '0.27']"
กำไรสำหรับงวด,กำไรสำหรับงวด,510100,"['362,322', '375,637']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,514900,"['23,784', '17,650']"
ค่าเสื่อมราคาสินทรัพย์ถาวรและสินทรัพย์สิทธิการใช้,ค่าเสื่อมราคาสินทรัพย์ถาวรและสินทรัพย์สิทธิการใช้,510310,"['86,650', '78,252']"
ค่าตัดจำหน่ายสินทรัพย์ไม่มีตัวตน,ค่าตัดจำหน่ายสินทรัพย์ไม่มีตัวตน,510320,"['3,815', '2,955']"
ขาดทุนจากการลดมูลค่าของสินค้าคงเหลือ(กลับรายการ),ขาดทุนจากการลดมูลค่าของสินค้าคงเหลือ(กลับรายการ),510500,"['(1,876)', '(1,651)']"
ค่าเผื่อผลขาดทุน(กลับรายการ),ค่าเผื่อผลขาดทุน(กลับรายการ),510400,"['9,052', '9,494']"
ขาดทุนจากการด้อยค่าสินทรัพย์ถาวรและสินทรัพย์ไม่มีตัวตน,(โอนกลับ) ขาดทุนจากการด้อยค่าของสินทรัพย์ถาวร,511700,"['9,637', '9,512']"
