account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,"['157,098,725', '144,095,074']"
รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,101100,"['126,915,461', '126,915,461']"
เงินลงทุนที่ไม่ได้วางเป็นประกัน,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,"['951,436,222', '582,466,829']"
เงินลงทุนที่วางเป็นประกัน,เงินลงทุนที่วางเป็นประกัน,101670,"['1,079,200', '1,079,200']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,102710,"['-', '500,074,930']"
อาคารและอุปกรณ์,อาคารและอุปกรณ์,103800,"['24,452,046', '24,452,044']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,103900,"['19,259,580', '19,259,580']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,"['17,408,102', '17,408,100']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,"['83,240,139', '59,003,431']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,"['39,077,684', '42,503,527']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['1,419,967,159', '1,517,258,176']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,"['20,686,395', '20,686,395']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,203000,"['10,165,091', '9,033,258']"
ภาระผูกพันหนี้สินผลประโยชน์พนักงาน,ภาระผูกพันหนี้สินผลประโยชน์พนักงาน,202700,"['120,189,077', '120,189,077']"
ประมาณการหนี้สิน,ประมาณการหนี้สิน,202800,"['1,997,118', '1,997,118']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,"['86,856,793', '86,766,538']"
หนี้สินอื่น,หนี้สินอื่น,209900,"['46,901,589', '46,924,758']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['286,796,063', '285,597,144']"
ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,ทุนจดทะเบียนหุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['125,615,708', '125,615,708']"
ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นชำระเต็มมูลค่าแล้ว,ทุนที่ออกและชำระแล้วหุ้นสามัญ{{number}}หุ้นชำระเต็มมูลค่าแล้ว,310220,"['125,615,708', '125,615,708']"
ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,310420,"['775,201,216', '775,201,216']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,"['(234,083,644)', '(137,103,436)']"
สำรองตามกฎหมาย,สำรองตามกฎหมาย,310611,"['18,000,000', '18,000,000']"
สำรองเพื่อรักษาระดับราคาหลักทรัพย์,สำรองเพื่อรักษาระดับราคาหลักทรัพย์,310619,"['5,000,000', '5,000,000']"
สำรองเพื่อขยายกิจการ,สำรองเพื่อขยายกิจการ,310619,"['10,000,000', '10,000,000']"
สำรองทั่วไป,สำรองทั่วไป,310619,"['50,000,000', '50,000,000']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['383,437,759', '384,947,544']"
รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,319999,"['1,133,171,039', '1,231,661,032']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,"['57', '-']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,"['1,133,171,096', '1,231,661,032']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,"['1,419,967,159', '1,517,258,176']"
รายได้ค่าธรรมเนียมและบริการ,รายได้ค่าธรรมเนียมและบริการ,410113,"['272,418,106', '272,425,115']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,"['4,386,495', '1,416,061']"
กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,กำไรและผลตอบแทนจากเครื่องมือทางการเงิน,430190,"['6,212,326', '4,193,503']"
รายได้อื่น,รายได้อื่น,410200,"['158,614', '158,614']"
รวมรายได้,รวมรายได้,419999,"['283,175,541', '278,193,293']"
ค่าใช้จ่ายผลประโยชน์พนักงาน,ค่าใช้จ่ายผลประโยชน์พนักงาน,422400,"['130,785,592', '130,785,592']"
ค่าธรรมเนียมและบริการจ่าย,ค่าธรรมเนียมและบริการจ่าย,422200,"['51,744,606', '51,744,606']"
ค่าใช้จ่ายดอกเบี้ย,ค่าใช้จ่ายดอกเบี้ย,429900,"['408,976', '408,976']"
ค่าใช้จ่ายอื่น,ค่าใช้จ่ายอื่น,429800,"['42,971,084', '42,922,075']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,"['225,910,258', '225,861,249']"
กำไรก่อนภาษีเงินได้,กำไรก่อนภาษีเงินได้,409994,"['57,265,283', '52,332,044']"
ภาษีเงินได้,ภาษีเงินได้,439800,"['9,859,467', '9,071,986']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409991,"['47,405,816', '43,260,058']"
ขาดทุนจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,ขาดทุนจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['(17,963,154)', '(4,570,813)']"
