account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['4,176,236', '2,434,331']"
ลูกหนี้การค้า,ลูกหนี้การค้า,112040,"['80,317,238', '77,517,728']"
ลูกหนี้อื่น,ลูกหนี้อื่น,113130,"['479,760', '391,415']"
ส่วนของเงินให้กู้ยืมระยะยาวแก่บริษัทย่อยที่ถึงกำหนดชำระภายในหนึ่งปี,บุคคลหรือกิจการที่เกี่ยวข้องกัน,112420,"['-', '29,053']"
เงินให้สินเชื่อจากการซื้อลูกหนี้ที่คาดว่าจะได้รับชำระภายในหนึ่งปี,ลูกหนี้เงินให้สินเชื่อ,112050,"['5,901', '-']"
จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์,จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์,113190,"['-', '298,549']"
ส่วนของสินทรัพย์อนุพันธ์ที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของสินทรัพย์อนุพันธ์ที่ถึงกำหนดชำระภายในหนึ่งปี,113000,"['1,072,018', '1,072,018']"
สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,115090,"['7,805', '-']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['125,500', '44,124']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['86,184,458', '81,787,218']"
ลูกหนี้การค้า,ลูกหนี้การค้า,122040,"['2,989,369', '1,350,705']"
เงินฝากประจำธนาคารที่มีภาระผูกพัน,เงินฝากประจำธนาคารที่มีภาระผูกพัน,120300,"['42,327', '-']"
เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,122400,"['-', '116,213']"
เงินให้สินเชื่อจากการซื้อลูกหนี้,ลูกหนี้เงินให้สินเชื่อ,122050,"['5,819', '-']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,"['-', '1,235,409']"
