account_name,taxonomy_account_name,account_code,parent_account_code,values
อสังหาริมทรัพย์ตามมูลค่ายุติธรรม,อสังหาริมทรัพย์ตามมูลค่ายุติธรรม,100500,109999,"['46,272,637']"
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['336,736']"
ลูกหนี้ค่าเช่าและบริการ,ลูกหนี้ค่าเช่าและบริการ,102080,102000,"['136,114']"
ดอกเบี้ยค้างรับ,ดอกเบี้ยค้างรับ,102072,102070,['573']
ลูกหนี้อื่น,ลูกหนี้อื่น,102090,102000,['612']
สินทรัพย์อื่น,สินทรัพย์อื่น,109990,109900,"['75,484']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,299999,"['46,822,156']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,209999,"['108,281']"
ดอกเบี้ยค้างจ่าย,ดอกเบี้ยค้างจ่าย,202500,209999,"['91,547']"
ภาษีหักณที่จ่ายค้างจ่าย,ภาษีหักณที่จ่ายค้างจ่าย,204010,204000,"['28,369']"
เงินมัดจำรับค่าเช่าและบริการ,เงินมัดจำรับค่าเช่าและบริการ,202210,202200,"['1,191,964']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,209999,"['173,559']"
หุ้นกู้,หุ้นกู้,201830,201800,"['11,831,631']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['34,547']"
รวมหนี้สิน,รวมหนี้สิน,209999,299999,"['13,459,898']"
ทุนที่ได้รับจากผู้ถือหน่วยทรัสต์,ทุนที่ได้รับจากผู้ถือหน่วยทรัสต์,310200,309998,"['31,118,590']"
กำไรสะสม,กำไรสะสม,310600,309998,"['2,243,668']"
สินทรัพย์สุทธิ,สินทรัพย์สุทธิ,309998,,"['33,362,258']"
สินทรัพย์สุทธิต่อหน่วย(บาท),สินทรัพย์สุทธิต่อหน่วย(บาท),330101,,['10.8906']
จำนวนหน่วยทรัสต์ที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),จำนวนหน่วยทรัสต์ที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด/ปี(พันหน่วย),330201,,"['3,063,387']"
รายได้ค่าเช่าและบริการ,รายได้ค่าเช่าและบริการ,410123,410120,"['922,996']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410120,['558']
รายได้จากการรับประกันการมีผู้เช่า,รายได้จากการรับประกันการมีผู้เช่า,410124,410120,"['1,830']"
รายได้จากการยึดเงินมัดจำค่าเช่าและบริการ,รายได้จากการยึดเงินมัดจำค่าเช่าและบริการ,410200,419999,"['2,482']"
รายได้อื่น,รายได้อื่น,410200,419999,"['7,288']"
รวมรายได้,รวมรายได้,419999,409993,"['935,154']"
ต้นทุนการเช่าและบริการ,ต้นทุนการเช่าและบริการ,420700,429999,"['87,041']"
ค่าธรรมเนียมการจัดการกองทรัสต์,ค่าธรรมเนียมการจัดการกองทรัสต์,421300,429999,"['108,654']"
ค่าธรรมเนียมทรัสตี,ค่าธรรมเนียมทรัสตี,421400,429999,"['5,326']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,429999,['958']
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,421500,['471']
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,422100,"['3,664']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,429999,"['93,098']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409993,"['299,212']"
ของเงินลงทุนในอสังหาริมทรัพย์,ของเงินลงทุนในอสังหาริมทรัพย์,439702,439700,"['(11,310)']"
การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,409999,,"['624,632']"
รายได้ค่าเช่าและบริการ,รายได้ค่าเช่าและบริการ,410123,410120,"['1,841,134']"
รายได้ดอกเบี้ย,รายได้ดอกเบี้ย,410108,410120,['975']
รายได้จากการรับประกันการมีผู้เช่า,รายได้จากการรับประกันการมีผู้เช่า,410124,410120,"['3,929']"
รายได้จากการยึดเงินมัดจำค่าเช่าและบริการ,รายได้จากการยึดเงินมัดจำค่าเช่าและบริการ,410200,419999,"['2,518']"
รายได้อื่น,รายได้อื่น,410200,419999,"['18,781']"
รวมรายได้,รวมรายได้,419999,409993,"['1,867,337']"
ต้นทุนการเช่าและบริการ,ต้นทุนการเช่าและบริการ,420700,429999,"['170,446']"
ค่าธรรมเนียมการจัดการกองทรัสต์,ค่าธรรมเนียมการจัดการกองทรัสต์,421300,429999,"['216,181']"
ค่าธรรมเนียมทรัสตี,ค่าธรรมเนียมทรัสตี,421400,429999,"['10,775']"
ค่าธรรมเนียมนายทะเบียน,ค่าธรรมเนียมนายทะเบียน,421600,429999,"['2,184']"
ค่าธรรมเนียมวิชาชีพ,ค่าธรรมเนียมวิชาชีพ,421520,421500,['932']
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,422100,"['5,593']"
ค่าใช้จ่ายรอการตัดบัญชีตัดจ่าย,ค่าใช้จ่ายรอการตัดบัญชีตัดจ่าย,421800,429999,"['2,728']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,429999,"['186,905']"
รวมค่าใช้จ่าย,รวมค่าใช้จ่าย,429999,409993,"['595,744']"
รายการกำไรสุทธิจากการจำหน่ายเงินลงทุนในอสังหาริมทรัพย์,รายการกำไรสุทธิจากการจำหน่ายเงินลงทุนในอสังหาริมทรัพย์,439701,439700,"['3,661']"
ของเงินลงทุนในอสังหาริมทรัพย์,ของเงินลงทุนในอสังหาริมทรัพย์,439702,439700,"['25,228']"
การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,409999,,"['1,300,482']"
การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,การเพิ่มขึ้นในสินทรัพย์สุทธิจากการดำเนินงาน,560090,569998,"['1,300,482']"
ของเงินลงทุนในอสังหาริมทรัพย์,ของเงินลงทุนในอสังหาริมทรัพย์,561400,569998,"['(25,228)']"
ค่าใช้จ่ายรอตัดบัญชีตัดจำหน่าย,ค่าใช้จ่ายรอตัดบัญชีตัดจำหน่าย,565000,569998,"['2,728']"
รับดอกเบี้ย,รับดอกเบี้ย,569500,569999,['754']
ซื้อเงินลงทุนในอสังหาริมทรัพย์,ซื้อเงินลงทุนในอสังหาริมทรัพย์,560060,560440,"['(3,239)']"
เงินสดรับจากการขายเงินลงทุนในอสังหาริมทรัพย์-สุทธิ,เงินสดรับจากการขายเงินลงทุนในอสังหาริมทรัพย์-สุทธิ,560050,560330,"['78,661']"
รายการกำไรสุทธิจากการขายเงินลงทุนในอสังหาริมทรัพย์,รายการกำไรสุทธิจากการขายเงินลงทุนในอสังหาริมทรัพย์,561499,569998,"['(3,661)']"
ลูกหนี้ค่าเช่าและบริการลดลง(เพิ่มขึ้น),ลูกหนี้ค่าเช่าและบริการลดลง(เพิ่มขึ้น),565800,569998,"['17,105']"
ลูกหนี้อื่นลดลง,ลูกหนี้อื่นลดลง,565800,569998,"['2,126']"
สินทรัพย์อื่นลดลง(เพิ่มขึ้น),สินทรัพย์อื่นลดลง(เพิ่มขึ้น),566600,569998,"['11,972']"
ค่าใช้จ่ายค้างจ่ายเพิ่มขึ้น(ลดลง),ค่าใช้จ่ายค้างจ่ายเพิ่มขึ้น(ลดลง),568900,569998,"['7,949']"
ภาษีหักณที่จ่ายค้างจ่ายเพิ่มขึ้น,ภาษีหักณที่จ่ายค้างจ่ายเพิ่มขึ้น,568800,569998,"['1,903']"
เงินมัดจำค่าเช่าและบริการเพิ่มขึ้น(ลดลง),เงินมัดจำค่าเช่าและบริการเพิ่มขึ้น(ลดลง),568902,569998,"['34,335']"
หนี้สินอื่นเพิ่มขึ้น(ลดลง),หนี้สินอื่นเพิ่มขึ้น(ลดลง),568300,569998,"['(5,784)']"
ดอกเบี้ยรับ,ดอกเบี้ยรับ,564720,564700,['(975)']
(กลับรายการ)ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,(กลับรายการ)ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,560400,569998,"['(5,795)']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,564800,569998,"['186,905']"
จ่ายดอกเบี้ย,จ่ายดอกเบี้ย,539600,539999,"['(185,997)']"
