account_name,taxonomy_account_name,account_code,values
กำไร(ขาดทุน)จากเงินลงทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,กำไร(ขาดทุน)จากเงินลงทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,"['(42,152)', '(440,803)']"
โครงการผลประโยชน์ของพนักงาน,กำไร (ขาดทุน) จากการประมาณการตามหลักคณิตศาสตร์ประกันภัยสำหรับโครงการผลประโยชน์พนักงาน,450600,"['26,792', '-']"
ส่วนแบ่งกำไร(ขาดทุน)เบ็ดเสร็จอื่นในการร่วมค้า,ส่วนแบ่งกำไร(ขาดทุน)เบ็ดเสร็จอื่นในการร่วมค้า,450500,"['4,613', '-']"
ภาษีเงินได้เกี่ยวกับองค์ประกอบของกำไร(ขาดทุน)เบ็ดเสร็จอื่น,ภาษีเงินได้ของรายการที่จะไม่จัดประเภทรายการใหม่เข้าไปไว้ในกำไรหรือขาดทุนในภายหลัง,459900,"['2,536', '88,161']"
รวมกำไร(ขาดทุน)เบ็ดเสร็จอื่นสุทธิ,รวมกำไร(ขาดทุน)เบ็ดเสร็จอื่นสุทธิ,409998,"['2,041,123', '326,250']"
กำไรเบ็ดเสร็จรวม,กำไรเบ็ดเสร็จรวม,409999,"['18,155,025', '12,549,621']"
ส่วนที่เป็นของธนาคาร,ส่วนที่เป็นของธนาคาร,460100,"['15,751,540', '12,223,371']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,"['362,362', '-']"
ส่วนที่เป็นของธนาคาร,ส่วนที่เป็นของธนาคาร,470100,"['17,786,962', '12,549,621']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,"['368,063', '-']"
กำไรต่อหุ้นขั้นพื้นฐาน,กำไรต่อหุ้นขั้นพื้นฐาน,480100,"['2.14', '1.66']"
กำไรจากการดำเนินงานก่อนภาษีเงินได้,กำไรจากการดำเนินงานก่อนภาษีเงินได้,510200,"['20,106,438', '14,688,478']"
ค่าเสื่อมราคาและค่าตัดจำหน่าย,ค่าเสื่อมราคาและค่าตัดจำหน่าย,510300,"['3,163,024', '1,854,153']"
ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,510400,"['24,087,730', '9,826,176']"
ขาดทุนจากการแปลงค่าเงินตราต่างประเทศ,(กําไร) ขาดทุนจากการแปลงค่าเงินตราต่างประเทศ,510800,"['5,597,634', '5,597,634']"
กำไรที่ยังไม่เกิดขึ้นจริงจากการตีมูลค่าอนุพันธ์,(กำไร) ขาดทุนจากการเปลี่ยนแปลงมูลค่ายุติธรรมของสินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,512300,"['(3,568,196)', '(3,423,250)']"
ส่วนแบ่งกำไรจากเงินลงทุนตามวิธีส่วนได้เสีย,ส่วนแบ่งกำไรจากเงินลงทุนตามวิธีส่วนได้เสีย,510600,"['(804,541)', '-']"
ขาดทุนจากเงินลงทุน,ขาดทุนจากเงินลงทุน,512300,"['-', '1,230,000']"
ส่วนเกินมูลค่าเงินทุนในตราสารหนี้ตัดจำหน่าย,ส่วนเกินมูลค่าเงินทุนในตราสารหนี้ตัดจำหน่าย,514800,"['99,523', '125,998']"
กำไรจากการจำหน่ายทรัพย์สินรอการขาย,กำไรจากการจำหน่ายทรัพย์สินรอการขาย,511200,"['(597,870)', '(565,178)']"
ขาดทุนจากการจำหน่ายที่ดินอาคารและอุปกรณ์,ขาดทุนจากการจำหน่ายที่ดินอาคารและอุปกรณ์,511510,"['32,032', '25,650']"
ขาดทุนจากการด้อยค่าของทรัพย์สินรอการขาย,ขาดทุนจากการด้อยค่าของทรัพย์สินรอการขาย,512000,"['292,726', '230,010']"
ขาดทุนจากการด้อยค่าของที่ดินอาคารและอุปกรณ์,(โอนกลับ) ขาดทุนจากการด้อยค่าของสินทรัพย์ถาวร,511700,"['53,143', '-']"
ขาดทุนจากการด้อยค่าของสินทรัพย์อื่น(โอนกลับ),ขาดทุนจากการด้อยค่าของสินทรัพย์อื่น(โอนกลับ),512100,"['21,410', '17,825']"
สำรองอื่นเพิ่มขึ้น,สำรองอื่นเพิ่มขึ้น,514920,"['363,513', '255,546']"
รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,514500,"['(55,593,770)', '(31,243,087)']"
เงินสดรับดอกเบี้ย,เงินสดรับดอกเบี้ย,519500,"['80,298,571', '52,800,184']"
เงินสดจ่ายดอกเบี้ย,เงินสดจ่ายดอกเบี้ย,519600,"['(24,535,086)', '(20,587,462)']"
รายได้จากเงินปันผล,รายได้จากเงินปันผล,514710,"['(299,509)', '(2,699,042)']"
เงินสดรับเงินปันผล,เงินสดรับเงินปันผล,519700,"['299,516', '288,308']"
ค่าใช้จ่ายค้างจ่ายอื่นลดลง,ค่าใช้จ่ายค้างจ่ายอื่นลดลง,518300,"['(2,284,998)', '(1,493,733)']"
เงินสดจ่ายภาษีเงินได้,เงินสดจ่ายภาษีเงินได้,514900,"['(4,758,304)', '(2,714,649)']"
รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,515200,"['(16,958,361)', '(11,874,060)']"
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,515300,"['(1,604,682)', '(1,672,297)']"
เงินให้สินเชื่อแก่ลูกหนี้,เงินให้สินเชื่อแก่ลูกหนี้,515800,"['(5,045,887)', '9,812,467']"
ทรัพย์สินรอการขาย,ทรัพย์สินรอการขาย,516400,"['10,016,359', '9,309,598']"
สินทรัพย์อื่น,สินทรัพย์อื่น,516600,"['1,759,151', '1,325,236']"
เงินรับฝาก,เงินรับฝาก,516800,"['68,148,855', '64,324,972']"
รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,516900,"['(95,568,444)', '(87,286,236)']"
หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินจ่ายคืนเมื่อทวงถาม,517000,"['1,049,463', '1,054,651']"
หนี้สินอื่น,หนี้สินอื่น,518300,"['851,236', '2,157,089']"
เงินสดสุทธิจากกิจกรรมดำเนินงาน,เงินสดสุทธิจากกิจกรรมดำเนินงาน,519999,"['4,620,676', '11,364,981']"
เงินสดรับจากการจำหน่ายเงินลงทุนในหลักทรัพย์,เงินสดรับจากการจำหน่ายเงินลงทุนในหลักทรัพย์,520210,"['25,163,852', '19,654,596']"
เงินสดจ่ายจากการซื้อเงินลงทุนในหลักทรัพย์,เงินสดจ่ายจากการซื้อเงินลงทุนในหลักทรัพย์,520300,"['(31,275,863)', '(25,848,904)']"
เงินสดจ่ายเพื่อลงทุนในบริษัทย่อย,เงินสดจ่ายเพื่อลงทุนในบริษัทย่อย,521200,"['(74,059)', '(5,438,228)']"
เงินสดรับจากเงินปันผลที่ได้รับจากบริษัทย่อยและบริษัทร่วม,เงินสดรับจากเงินปันผลที่ได้รับจากบริษัทย่อยและบริษัทร่วม,529700,"['-', '2,410,742']"
เงินสดรับจากการขายที่ดินอาคารและอุปกรณ์,เงินสดรับจากการขายที่ดินอาคารและอุปกรณ์,521610,"['385,187', '296,548']"
เงินสดจ่ายในการซื้อที่ดินอาคารและอุปกรณ์,เงินสดจ่ายในการซื้อที่ดินอาคารและอุปกรณ์,521710,"['(2,050,825)', '(1,207,668)']"
เงินสดจ่ายเพื่อซื้อสินทรัพย์ไม่มีตัวตน,เงินสดจ่ายเพื่อซื้อสินทรัพย์ไม่มีตัวตน,521720,"['(1,557,724)', '(1,095,032)']"
เงินสดสุทธิจากกิจกรรมลงทุน,เงินสดสุทธิจากกิจกรรมลงทุน,529999,"['(9,409,432)', '(11,227,946)']"
เงินสดรับจากเงินกู้ยืมและการออกตราสารหนี้,เงินสดรับจากเงินกู้ยืมและการออกตราสารหนี้,530620,"['26,005,322', '20,000,000']"
เงินสดจ่ายชำระคืนเงินกู้ยืมและตราสารหนี้,เงินสดจ่ายชำระคืนเงินกู้ยืมและตราสารหนี้,530610,"['(22,803,915)', '(18,830,607)']"
เงินสดจ่ายชำระหนี้สินตามสัญญาเช่า,เงินสดจ่ายชำระหนี้สินตามสัญญาเช่า,530500,"['(934,478)', '(535,521)']"
เงินปันผลจ่าย,เงินปันผลจ่าย,539800,"['(3,369,381)', '(3,310,093)']"
เงินสดสุทธิจากกิจกรรมจัดหาเงิน,เงินสดสุทธิได้มาจาก (ใช้ไปใน) กิจกรรมจัดหาเงิน,539999,"['(1,102,452)', '(2,676,221)']"
ผลกระทบจากการแปลงค่างบการเงินจากการดำเนินงานในต่างประเทศ,ผลกระทบจากการแปลงค่างบการเงินจากการดำเนินงานในต่างประเทศ,540200,"['1,263,594', '-']"
ผลกระทบของการเปลี่ยนแปลงในอัตราแลกเปลี่ยนที่มีต่อเงินสด,ผลกระทบของการเปลี่ยนแปลงในอัตราแลกเปลี่ยนที่มีต่อเงินสด,540100,"['113,540', '113,540']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_one}},เงินสดและรายการเทียบเท่าเงินสด ต้นงวด,599998,"['49,755,996', '25,127,673']"
เงินสดและรายการเทียบเท่าเงินสดณวันที่{{number}}{{month_six}},เงินสดและรายการเทียบเท่าเงินสด สิ้นงวด,599999,"['45,241,922', '22,702,027']"
