account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['44,446,617']"
เงินลงทุนในตราสารหนี้ระยะสั้น,เงินลงทุนในตราสารหนี้ระยะสั้น,111600,"['22,725,009']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,"['94,970,821']"
เงินให้กู้ยืมระยะสั้น,เงินให้กู้ยืมระยะสั้น,112300,"['173,578']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,"['86,809,535']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['2,902,673']"
สินทรัพย์ไม่หมุนเวียนที่จัดประเภทเป็นสินทรัพย์ที่ถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนที่จัดประเภทเป็นสินทรัพย์ที่ถือไว้เพื่อขาย,114700,"['1,629,111']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['253,657,344']"
เงินลงทุนในตราสารหนี้,เงินลงทุนในตราสารหนี้,121600,"['2,721,087']"
เงินลงทุนในตราสารทุน,เงินลงทุนในตราสารทุน,121600,"['17,078,274']"
เงินลงทุนในการร่วมค้าและบริษัทร่วม,เงินลงทุนในการร่วมค้าและบริษัทร่วม,122600,"['119,656,929']"
ลูกหนี้ไม่หมุนเวียนอื่น,ลูกหนี้ไม่หมุนเวียนอื่น,123140,"['2,566,634']"
เงินให้กู้ยืมระยะยาว,เงินให้กู้ยืมระยะยาว,122400,"['144,587']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,"['2,103,517']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,"['424,620,214']"
ค่าความนิยม,ค่าความนิยม,124200,"['46,160,752']"
สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่มีตัวตนอื่น,124190,"['21,572,073']"
