account_name,taxonomy_account_name,account_code,parent_account_code,values
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,515800,519998,"['26,190', '26,336']"
สินค้าคงเหลือ,สินค้าคงเหลือ,516300,519998,"['16,012', '16,179 ']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,516600,519998,"['(7,178)', '  (6,855)']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,516600,519998,"['(6)', '  (301)']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,517600,519998,"['5,364 ', '5,490 ']"
ประมาณการหนี้สินหมุนเวียนอื่น,ประมาณการหนี้สินหมุนเวียนอื่น,518000,519998,"['4,042 ', '4,042 ']"
จ่ายผลประโยชน์พนักงาน,จ่ายผลประโยชน์พนักงาน,518700,519998,"['(2,352)', '  (2,352)']"
จ่ายดอกเบี้ย,จ่ายดอกเบี้ย,519600,519999,"['(658)', '(514)']"
กระแสเงินสดสุทธิได้มา(ใช้ไป)จากกิจกรรมดำเนินงาน,กระแสเงินสดสุทธิได้มา(ใช้ไป)จากกิจกรรมดำเนินงาน,519999,509999,"['42,411', '45,002']"
เงินสดจ่ายเพื่อซื้อสินทรัพย์ทางการเงินหมุนเวียนอื่น,เงินสดจ่ายเพื่อซื้อสินทรัพย์ทางการเงินหมุนเวียนอื่น,520300,529999,"['(60,000)', '(60,000)']"
เงินสดรับจากการกู้ยืมบุคคลที่เกี่ยวข้องกัน,เงินสดรับจากเงินให้กู้ยืมระยะสั้น - บุคคลหรือกิจการที่เกี่ยวข้องกัน,521511,521510,"['1,000', '-']"
เงินสดจ่ายให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,เงินสดจ่ายให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,521400,529999,"['-', '(5,000)']"
เงินสดรับชำระคืนจากเงินให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,เงินสดรับชำระคืนจากเงินให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,521500,529999,"['1,464', '1,464']"
เงินสดจ่ายเพื่อซื้ออาคารและอุปกรณ์,เงินสดจ่ายเพื่อซื้ออาคารและอุปกรณ์,521710,521700,"['  (2,320)', '  (1,080)']"
เงินสดรับจากการขายอาคารและอุปกรณ์,เงินสดรับจากการขายอาคารและอุปกรณ์,521610,521600,"['467', '467']"
เงินสดจ่ายเพื่อซื้อสินทรัพย์ไม่มีตัวตนอื่น,เงินสดจ่ายเพื่อซื้อสินทรัพย์ไม่มีตัวตนอื่น,521720,521700,"['(111)', '(111)']"
กระแสเงินสดสุทธิได้มาจาก(ใช้ไป)จากกิจกรรมลงทุน,กระแสเงินสดสุทธิได้มาจาก(ใช้ไป)จากกิจกรรมลงทุน,529999,509999,"['  (59,500)', '  (64,260)']"
เงินสดจ่ายชำระหนี้สินตามสัญญาเช่า,เงินสดจ่ายชำระหนี้สินตามสัญญาเช่า,530500,539999,"['(1,551)', '(1,140)']"
เงินสดปันผลจ่าย,จ่ายเงินปันผล,539800,539999,"['(3,000)', '(3,000)']"
กระแสเงินสดสุทธิ(ใช้ไป)จากกิจกรรมจัดหาเงิน,กระแสเงินสดสุทธิ(ใช้ไป)จากกิจกรรมจัดหาเงิน,539999,509999,"['(4,551)', '(4,140)']"
เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้นสุทธิ,เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้นสุทธิ,509999,599999,"['(21,640)', '(23,398)']"
เงินสดและรายการเทียบเท่าเงินสดต้นงวด,เงินสดและรายการเทียบเท่าเงินสดต้นงวด,599998,599999,"['149,974', '149,609']"
เงินสดและรายการเทียบเท่าเงินสดปลายงวด,เงินสดและรายการเทียบเท่าเงินสดปลายงวด,599999,,"['128,334', '126,211']"
