account_name,taxonomy_account_name,account_code,parent_account_code,values
การขายเงินลงทุนในหลักทรัพย์,การขายเงินลงทุนในหลักทรัพย์,560031,560330,"['930,000']"
ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิ(เพิ่มขึ้น)ลดลง,ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิ(เพิ่มขึ้น)ลดลง,565800,569998,"['12,560']"
ลูกหนี้จากดอกเบี้ยค้างรับลดลง,ลูกหนี้จากดอกเบี้ยค้างรับลดลง,565800,569998,['3']
สินทรัพย์อื่นลดลง,สินทรัพย์อื่นลดลง,566600,569998,['938']
เจ้าหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิเพิ่มขึ้น,เจ้าหนี้การค้าและเจ้าหนี้อื่น เพิ่มขึ้น (ลดลง),567600,569998,"['1,243']"
เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่ายเพิ่มขึ้น(ลดลง),เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่ายเพิ่มขึ้น(ลดลง),567600,569998,"['(96,558)']"
ภาษีธุรกิจเฉพาะค้างจ่ายลดลง,ภาษีธุรกิจเฉพาะค้างจ่ายลดลง,568800,569998,['(694)']
หนี้สินอื่นลดลง,หนี้สินอื่นลดลง,568300,569998,['(132)']
ส่วนลดมูลค่าเงินลงทุนในหลักทรัพย์ตัดจำหน่าย,ส่วนลดมูลค่าเงินลงทุนในหลักทรัพย์ตัดจำหน่าย,564720,564700,['(893)']
เงินสดสุทธิจากกิจกรรมดำเนินงาน,เงินสดสุทธิจากกิจกรรมดำเนินงาน,569999,509999,"['242,706']"
การจ่ายคืนมูลค่าหน่วยลงทุนจากการลดทุน,การจ่ายคืนมูลค่าหน่วยลงทุนจากการลดทุน,531000,539999,"['(283,612)']"
เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,539999,509999,"['(283,612)']"
เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น(ลดลง)สุทธิ,เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น(ลดลง)สุทธิ,509999,599999,"['(40,906)']"
เงินสดและรายการเทียบเท่าเงินสดณวันต้นงวด,เงินสดและรายการเทียบเท่าเงินสดณวันต้นงวด,599998,599999,"['67,908']"
เงินสดและรายการเทียบเท่าเงินสดณวันปลายงวด,เงินสดและรายการเทียบเท่าเงินสดณวันปลายงวด,599999,,"['27,002']"
