account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,119999,"['2,011', '1,577']"
เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้หมุนเวียน,เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้หมุนเวียน,112310,112300,"['304,474', '304,474']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113190,113100,"['261,824', '26,525']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,"['1,931', '1,832']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,109999,"['570,240', '334,408']"
สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123190,123100,"['110,570', '110,570']"
เงินลงทุนในบริษัทย่อย-สุทธิ,เงินลงทุนในบริษัทย่อย-สุทธิ,122710,122700,"['-', '915,446']"
ลูกหนี้ไม่หมุนเวียนอื่นบริษัทที่เกี่ยวข้องกัน-สุทธิ,ลูกหนี้ไม่หมุนเวียนอื่นบริษัทที่เกี่ยวข้องกัน-สุทธิ,123140,123100,"['-', '7,058']"
ลูกหนี้จากการรับซื้อสิทธิเรียกร้องไม่หมุนเวียน-สุทธิ,ลูกหนี้จากการรับซื้อสิทธิเรียกร้องไม่หมุนเวียน-สุทธิ,122040,122000,"['3,905', '-']"
เงินให้กู้ยืมระยะยาวแก่บริษัทที่เกี่ยวข้องกัน,เงินให้กู้ยืมระยะยาวแก่บริษัทที่เกี่ยวข้องกัน,122420,122400,"['-', '100']"
เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้ไม่หมุนเวียน-สุทธิ,เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้ไม่หมุนเวียน-สุทธิ,122410,122400,"['1,517,692', '1,350,922']"
อสังหาริมทรัพย์เพื่อการลงทุน-สุทธิ,อสังหาริมทรัพย์เพื่อการลงทุน-สุทธิ,123700,129999,"['1,141,797', '732,924']"
ส่วนปรับปรุงอาคารเช่าและอุปกรณ์-สุทธิ,ส่วนปรับปรุงอาคารเช่าและอุปกรณ์-สุทธิ,123800,129999,"['7,726', '5,690']"
สินทรัพย์สิทธิการใช้-สุทธิ,สินทรัพย์สิทธิการใช้-สุทธิ,123900,129999,"['6,171', '6,171']"
สินทรัพย์ไม่มีตัวตน-สุทธิ,สินทรัพย์ไม่มีตัวตน-สุทธิ,124190,124100,"['29', '17']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,129999,"['64,832', '50,961']"
