account_name,taxonomy_account_name,account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,110100,"['332,160', '306,215']"
ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,"['590,308', '706,734']"
เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,112320,"['-', '125,500']"
สินค้าคงเหลือ,สินค้าคงเหลือ,112900,"['738,436', '699,588']"
สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินหมุนเวียนอื่น,111600,"['164,103', '164,103']"
สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,"['17,000', '15,004']"
รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,119999,"['1,842,007', '2,017,144']"
เงินลงทุนในบริษัทย่อย,เงินลงทุนในบริษัทย่อย,122710,"['-', '116,462']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,123700,"['39,745', '39,745']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,123800,"['961,066', '933,375']"
สินทรัพย์สิทธิการใช้,สินทรัพย์สิทธิการใช้,123900,"['89,976', '80,838']"
ค่าความนิยม,ค่าความนิยม,124200,"['13,477', '-']"
สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,124190,"['50,269', '38,371']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,"['90,268', '34,094']"
สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,"['21,592', '9,299']"
รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,129999,"['1,266,393', '1,252,184']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,"['3,108,400', '3,269,328']"
เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,"['211,264', '200,000']"
เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,"['539,541', '503,195']"
ภายในหนึ่งปี,ภายในหนึ่งปี,211860,"['17,400', '17,400']"
ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,"['26,134', '18,650']"
เงินกู้ยืมระยะสั้น,เงินกู้ยืมระยะสั้น,211700,"['17,480', '-']"
ภาษีเงินได้นิติบุคคลค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,213000,"['9,545', '9,545']"
หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น,219900,"['42,848', '33,728']"
รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,219999,"['864,212', '782,518']"
เงินกู้ยืมระยะยาวจากสถาบันการเงิน,เงินกู้ยืมระยะยาวจากสถาบันการเงิน,221860,"['130,810', '130,810']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,222400,"['67,212', '65,165']"
ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,222700,"['40,626', '38,527']"
หนี้สินไม่หมุนเวียนอื่น,หนี้สินไม่หมุนเวียนอื่น,229900,"['2,093', '-']"
รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,229999,"['240,741', '234,502']"
รวมหนี้สิน,รวมหนี้สิน,209999,"['1,104,953', '1,017,020']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,"['345,000', '345,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาทชำระครบแล้ว,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาทชำระครบแล้ว,310220,"['345,000', '345,000']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,"['1,315,440', '1,315,440']"
ส่วนเกินทุนจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,ส่วนเกินทุนจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,319921,"['1,186', '-']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,"['34,500', '34,500']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,"['315,800', '557,368']"
องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,319990,"['(6,379)', '-']"
ส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,320130,"['(2,100)', '-']"
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,309998,"['2,003,447', '2,252,308']"
รวมหนี้สินและส่วนของผู้ถือหุ้น,รวมหนี้สินและส่วนของผู้ถือหุ้น,309999,"['3,108,400', '3,269,328']"
รายได้จากการขาย,รายได้จากการขาย,410102,"['958,223', '916,089']"
รายได้อื่น,รายได้อื่น,410200,"['5,600', '6,165']"
กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,410200,"['4,057', '4,055']"
รวมรายได้,รวมรายได้,419999,"['967,880', '926,309']"
ต้นทุนขาย,ต้นทุนขาย,420410,"['704,862', '678,298']"
ต้นทุนในการจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย,422110,"['103,412', '82,110']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,"['79,533', '68,466']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['(2,844)', '(2,658)']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,"['(6,441)', '(5,776)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409996,"['70,788', '89,001']"
ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,440500,"['(1,193)', '-']"
ขาดทุนเบ็ดเสร็จอื่นรวมสำหรับงวด-สุทธิจากภาษีเงินได้,ขาดทุนเบ็ดเสร็จอื่นรวมสำหรับงวด-สุทธิจากภาษีเงินได้,409998,"['(1,193)', '-']"
กำไรเบ็ดเสร็จรวมสำหรับงวด,กำไรเบ็ดเสร็จรวมสำหรับงวด,409999,"['69,595', '89,001']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,460100,"['70,805', '89,001']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,"['(17)', '']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,470100,"['69,717', '89,001']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,"['(122)', '']"
กำไรต่อหุ้นขั้นพื้นฐาน(บาท),กำไรต่อหุ้นขั้นพื้นฐาน(บาท),480100,"['0.05', '0.06']"
รายได้จากการขาย,รายได้จากการขาย,410102,"['1,926,445', '1,836,940']"
รายได้อื่น,รายได้อื่น,410200,"['9,159', '10,149']"
กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,กำไรจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ-สุทธิ,410200,"['8,044', '8,039']"
ต้นทุนขาย,ต้นทุนขาย,420410,"['1,418,443', '1,364,670']"
ต้นทุนในการจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย,422110,"['216,115', '174,627']"
ค่าใช้จ่ายในการบริหาร,ค่าใช้จ่ายในการบริหาร,422120,"['154,708', '130,844']"
ต้นทุนทางการเงิน,ต้นทุนทางการเงิน,429900,"['(5,718)', '(5,311)']"
ค่าใช้จ่ายภาษีเงินได้,ค่าใช้จ่ายภาษีเงินได้,439800,"['(15,388)', '(15,807)']"
กำไรสำหรับงวด,กำไรสำหรับงวด,409996,"['133,276', '163,869']"
ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,440500,"['(1,184)', '-']"
กำไรเบ็ดเสร็จรวมสำหรับงวด,กำไรเบ็ดเสร็จรวมสำหรับงวด,409999,"['132,092', '163,869']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,460100,"['133,591', '163,869']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,460200,"['(315)', '']"
ส่วนที่เป็นของบริษัทใหญ่,ส่วนที่เป็นของบริษัทใหญ่,470100,"['132,511', '163,869']"
ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,470200,"['(419)', '']"
กำไรต่อหุ้นขั้นพื้นฐาน(บาท),กำไรต่อหุ้นขั้นพื้นฐาน(บาท),480100,"['0.09', '0.11']"
